Unnamed: 0,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
75,1,26,27,26,14,14,10,14,1,18,8,10,2,25,9,6,24,2,16,1,2,21,19,9,13,4,10,16,10
76,1,0,0,26,0,2,29,28,4,11,19,11,25,4,14,1,10,0,0,29,8,4,19,16,13,24,9,9,23
77,1,27,28,27,14,15,21,22,4,1,15,7,16,29,28,13,22,3,1,29,27,23,14,8,28,3,14,21,1
78,1,18,27,25,17,9,17,12,8,9,10,13,28,11,6,12,3,15,23,17,6,14,23,10,9,11,26,27,0
79,1,22,28,28,15,5,23,20,6,6,15,9,23,4,15,2,9,1,4,16,7,6,18,10,12,27,26,24,0
82,1,26,27,27,15,13,21,19,7,15,15,5,25,12,2,25,9,17,11,21,10,4,22,21,10,24,10,8,5
83,2,28,8,16,26,2,20,10,10,1,1,6,16,12,28,17,26,3,24,16,1,16,3,24,24,4,4,17,17
84,2,29,16,17,2,27,8,27,18,28,3,8,25,25,0,29,17,28,26,25,22,5,5,21,0,24,5,25,17
85,2,0,23,17,4,3,9,9,20,13,14,10,16,26,1,14,23,24,14,13,7,1,2,27,25,27,3,17,3
86,2,9,19,0,0,0,29,29,12,8,20,6,16,4,6,7,9,24,17,13,5,6,2,26,25,26,7,6,8
87,2,29,18,4,0,2,29,26,15,27,13,2,16,1,23,28,19,29,28,28,20,1,0,17,27,25,5,25,17
90,2,28,7,6,6,3,9,8,20,12,5,9,0,27,1,8,23,22,10,25,14,11,2,26,22,25,2,21,11
91,2,1,1,6,0,6,25,21,7,4,1,12,15,16,17,17,29,5,17,8,7,17,2,26,24,9,4,16,13
92,2,29,8,18,27,1,25,26,11,29,25,8,23,0,27,28,3,28,3,16,2,1,1,22,3,9,4,16,13
93,2,29,17,2,12,8,27,22,16,26,4,15,24,10,3,28,5,20,1,27,24,10,2,25,24,14,6,25,17
94,2,15,1,11,25,7,20,15,16,22,21,20,2,8,5,26,27,11,1,27,26,15,4,23,22,9,9,2,19
95,2,29,19,3,1,2,5,20,4,9,0,17,13,6,0,18,3,13,15,7,11,10,3,26,23,9,9,2,19
98,2,23,22,6,0,2,16,7,19,28,0,6,19,0,4,22,8,25,11,21,10,0,2,25,25,26,4,20,2
99,2,29,20,1,1,8,15,13,19,13,0,27,24,0,23,19,13,2,0,28,21,3,0,27,0,12,5,25,16
100,2,28,6,24,0,2,26,23,17,29,1,9,17,15,0,29,16,0,0,28,15,0,2,26,23,26,4,26,16
101,2,0,10,13,3,29,0,27,0,29,1,5,17,0,18,22,19,29,28,28,18,0,2,23,25,26,5,26,17
102,2,18,6,23,6,3,25,15,13,15,12,19,25,28,2,16,23,27,24,4,1,27,2,14,23,8,5,25,16
103,2,20,2,24,27,9,23,16,13,19,25,20,7,6,0,24,25,10,22,18,27,22,5,23,25,5,8,23,15
106,2,3,1,16,0,5,23,18,7,13,3,23,13,16,24,19,26,12,23,12,25,18,4,6,26,0,9,24,13
107,2,1,22,25,5,2,7,3,21,29,0,2,17,28,1,12,22,25,13,11,7,0,2,25,24,24,3,25,17
108,2,11,21,5,5,6,19,15,19,24,10,0,1,0,5,15,18,1,0,27,16,0,0,27,0,21,6,26,16
109,3,7,8,4,1,11,26,26,4,2,22,26,27,13,8,9,5,15,22,8,18,25,0,11,0,25,26,26,0
110,3,10,23,2,3,22,23,19,12,18,24,7,28,11,12,29,12,11,4,29,16,7,10,13,16,19,4,25,1
111,3,10,14,5,17,26,5,2,23,6,18,22,26,9,20,6,8,13,24,13,15,8,24,16,8,15,9,17,22
114,3,7,12,9,21,18,16,1,19,5,15,20,2,14,12,10,6,2,26,2,11,9,26,20,6,17,24,0,14
115,3,18,9,4,28,16,27,22,12,12,23,9,22,4,28,26,9,21,23,25,14,6,23,16,11,19,8,20,24
116,3,11,8,5,28,18,27,21,4,4,26,12,8,22,11,28,29,1,23,20,4,27,0,24,0,10,25,23,23
117,3,1,22,3,3,8,18,14,4,13,27,6,11,12,12,11,7,16,3,5,2,8,27,23,6,16,22,10,15
